"","county","total_murder","total_rape","total_robbery","total_agg_assault","total_b_e","total_larceny_theft","total_m_v_theft","total_violent_crimes","total_property_crimes","total_crimes"
"1","Allegany County",93,792,1287,8491,21982,72008,3359,10663,97349,108012
"2","Anne Arundel County",769,5062,26430,68250,163699,545234,62359,100511,771292,871803
"3","Baltimore City",12235,19738,321524,304854,546050,1327691,310719,658351,2184460,2842811
"4","Baltimore County",1396,9961,71595,177369,304747,974760,149029,260321,1428536,1688857
"5","Calvert County",81,510,690,7349,14222,38617,2760,8630,55599,64229
"6","Caroline County",53,372,594,3976,9500,20702,1667,4995,31869,36864
"7","Carroll County",84,1241,1751,10100,26266,83072,5484,13176,114822,127998
"8","Cecil County",133,872,2556,14326,31132,74137,8048,17887,113317,131204
"9","Charles County",248,1307,5201,18853,30603,114168,13912,25609,158683,184292
"10","Dorchester County",94,435,1296,6774,12659,35699,2267,8599,50625,59224
"11","Frederick County",188,1585,5117,23603,35194,127954,8751,30493,171899,202392
"12","Garrett County",32,233,122,2373,7356,15034,1136,2760,23526,26286
"13","Harford County",252,1968,6535,19928,51863,150424,13477,28683,215764,244447
"14","Howard County",220,1851,7826,15852,58502,222092,25581,25749,306175,331924
"15","Kent County",17,178,386,2106,5605,11212,791,2687,17608,20295
"16","Montgomery County",861,8244,38307,40587,195480,822377,102176,87999,1120033,1208032
"17","Prince George's County",4259,14552,138291,135824,392714,1082479,364814,292926,1840007,2132933
"18","Queen Anne's County",43,347,517,3904,9811,24174,1692,4811,35677,40488
"19","Somerset County",67,373,585,3591,9335,16727,1092,4616,27154,31770
"20","St. Mary's County",129,876,1731,10033,24670,63451,4126,12769,92247,105016
"21","Talbot County",65,403,920,3763,9479,29418,1519,5151,40416,45567
"22","Washington County",198,1050,4351,13380,34782,94157,8825,18979,137764,156743
"23","Wicomico County",235,1474,5873,18911,41157,110156,7331,26493,158644,185137
"24","Worcester County",99,826,1682,9245,23704,81669,4061,11852,109434,121286
